ImageId,Label
1,8
2,8
3,9
4,8
5,6
6,0
7,7
8,8
9,7
10,9
11,9
12,2
13,9
14,3
15,7
16,8
17,6
18,7
19,7
20,2
21,1
22,9
23,5
24,8
25,6
26,7
27,2
28,2
29,0
30,1
31,5
32,0
33,0
34,4
35,2
36,1
37,0
38,9
39,7
40,9
41,3
42,3
43,8
44,6
45,1
46,5
47,8
48,2
49,4
50,6
51,1
52,0
53,3
54,0
55,9
56,4
57,2
58,3
59,9
60,4
61,5
62,3
63,3
64,1
65,1
66,8
67,4
68,6
69,9
70,3
71,9
72,9
73,1
74,7
75,8
76,3
77,5
78,1
79,0
80,5
81,2
82,1
83,4
84,4
85,3
86,8
87,4
88,7
89,9
90,1
91,9
92,0
93,3
94,0
95,5
96,7
97,1
98,7
99,8
100,6
101,1
102,6
103,5
104,8
105,2
106,4
107,9
108,0
109,5
110,3
111,3
112,3
113,9
114,9
115,2
116,0
117,4
118,1
119,8
120,2
121,6
122,9
123,8
124,4
125,6
126,1
127,0
128,0
129,8
130,7
131,9
132,6
133,6
134,2
135,8
136,0
137,9
138,4
139,5
140,6
141,7
142,9
143,5
144,9
145,4
146,4
147,1
148,0
149,5
150,5
151,2
152,2
153,3
154,9
155,5
156,9
157,9
158,5
159,2
160,0
161,2
162,0
163,0
164,3
165,2
166,1
167,4
168,6
169,4
170,7
171,5
172,1
173,9
174,1
175,9
176,1
177,5
178,7
179,2
180,6
181,8
182,0
183,3
184,7
185,6
186,6
187,1
188,9
189,6
190,2
191,6
192,7
193,6
194,2
195,4
196,5
197,9
198,8
199,3
200,7
201,7
202,5
203,1
204,9
205,2
206,9
207,6
208,1
209,1
210,2
211,5
212,6
213,4
214,2
215,8
216,8
217,2
218,0
219,3
220,5
221,1
222,0
223,4
224,8
225,2
226,3
227,5
228,4
229,8
230,1
231,6
232,2
233,5
234,7
235,3
236,2
237,8
238,2
239,1
240,4
241,3
242,5
243,5
244,7
245,9
246,6
247,4
248,9
249,0
250,7
251,0
252,7
253,1
254,1
255,4
256,7
257,7
258,4
259,9
260,2
261,9
262,1
263,4
264,6
265,8
266,7
267,1
268,5
269,7
270,4
271,1
272,3
273,0
274,6
275,0
276,1
277,6
278,1
279,6
280,3
281,1
282,1
283,8
284,5
285,1
286,7
287,6
288,1
289,3
290,1
291,0
292,3
293,2
294,2
295,4
296,1
297,5
298,2
299,0
300,2
301,5
302,2
303,1
304,1
305,9
306,7
307,4
308,6
309,0
310,4
311,0
312,9
313,3
314,8
315,7
316,9
317,4
318,7
319,3
320,1
321,1
322,4
323,7
324,3
325,0
326,4
327,5
328,1
329,4
330,0
331,2
332,3
333,5
334,6
335,6
336,0
337,1
338,4
339,8
340,1
341,7
342,7
343,1
344,7
345,1
346,7
347,3
348,6
349,2
350,7
351,9
352,2
353,1
354,5
355,5
356,4
357,1
358,2
359,0
360,3
361,1
362,3
363,9
364,7
365,3
366,1
367,5
368,5
369,8
370,3
371,9
372,8
373,6
374,6
375,3
376,3
377,1
378,6
379,3
380,5
381,9
382,5
383,3
384,9
385,2
386,9
387,0
388,8
389,1
390,3
391,6
392,2
393,4
394,9
395,4
396,0
397,3
398,1
399,7
400,0
401,7
402,0
403,8
404,2
405,0
406,4
407,2
408,2
409,1
410,1
411,7
412,7
413,6
414,3
415,0
416,8
417,1
418,1
419,5
420,5
421,7
422,5
423,5
424,7
425,7
426,6
427,6
428,6
429,4
430,6
431,0
432,5
433,7
434,8
435,6
436,4
437,3
438,4
439,8
440,4
441,1
442,1
443,6
444,2
445,9
446,9
447,1
448,8
449,9
450,1
451,6
452,5
453,4
454,7
455,9
456,9
457,8
458,8
459,1
460,8
461,1
462,9
463,5
464,3
465,7
466,6
467,5
468,7
469,2
470,6
471,5
472,4
473,9
474,7
475,3
476,4
477,7
478,9
479,8
480,2
481,6
482,1
483,9
484,4
485,5
486,7
487,0
488,4
489,1
490,2
491,3
492,1
493,3
494,4
495,2
496,3
497,1
498,7
499,3
500,4
501,2
502,2
503,4
504,7
505,3
506,1
507,4
508,5
509,1
510,5
511,0
512,7
513,1
514,8
515,9
516,1
517,8
518,7
519,6
520,2
521,7
522,7
523,8
524,9
525,8
526,4
527,6
528,1
529,1
530,9
531,4
532,3
533,5
534,2
535,2
536,2
537,1
538,9
539,2
540,7
541,1
542,1
543,2
544,4
545,7
546,1
547,3
548,9
549,0
550,7
551,2
552,9
553,1
554,8
555,2
556,4
557,1
558,7
559,6
560,6
561,4
562,8
563,9
564,5
565,4
566,3
567,4
568,1
569,9
570,0
571,1
572,5
573,2
574,8
575,5
576,9
577,3
578,2
579,5
580,7
581,9
582,3
583,5
584,4
585,5
586,0
587,9
588,8
589,9
590,3
591,2
592,6
593,3
594,9
595,9
596,3
597,1
598,1
599,5
600,5
601,2
602,9
603,6
604,7
605,0
606,6
607,3
608,5
609,8
610,7
611,6
612,1
613,5
614,5
615,6
616,8
617,8
618,1
619,6
620,4
621,5
622,0
623,5
624,1
625,4
626,7
627,3
628,4
629,5
630,5
631,0
632,9
633,9
634,9
635,5
636,8
637,7
638,5
639,2
640,3
641,4
642,1
643,5
644,0
645,5
646,5
647,0
648,4
649,6
650,6
651,2
652,2
653,7
654,4
655,6
656,6
657,9
658,7
659,8
660,5
661,8
662,5
663,5
664,1
665,1
666,2
667,1
668,0
669,6
670,0
671,9
672,6
673,7
674,7
675,4
676,8
677,0
678,3
679,5
680,9
681,5
682,6
683,3
684,8
685,0
686,1
687,9
688,9
689,8
690,6
691,5
692,5
693,7
694,3
695,7
696,4
697,4
698,1
699,9
700,3
701,5
702,9
703,9
704,5
705,0
706,7
707,2
708,1
709,9
710,6
711,3
712,0
713,1
714,7
715,5
716,9
717,4
718,2
719,1
720,8
721,1
722,5
723,0
724,2
725,1
726,3
727,6
728,9
729,6
730,5
731,2
732,4
733,9
734,8
735,3
736,2
737,9
738,3
739,2
740,8
741,0
742,8
743,8
744,5
745,4
746,7
747,7
748,8
749,5
750,5
751,3
752,3
753,7
754,2
755,4
756,4
757,4
758,0
759,2
760,6
761,6
762,1
763,5
764,1
765,7
766,0
767,8
768,7
769,9
770,2
771,5
772,8
773,4
774,0
775,2
776,6
777,8
778,5
779,6
780,8
781,0
782,2
783,1
784,7
785,9
786,7
787,9
788,1
789,0
790,7
791,4
792,9
793,0
794,2
795,7
796,1
797,0
798,4
799,9
800,5
801,4
802,4
803,0
804,9
805,1
806,9
807,1
808,0
809,8
810,6
811,5
812,7
813,6
814,7
815,1
816,0
817,8
818,4
819,9
820,2
821,9
822,8
823,1
824,6
825,1
826,5
827,9
828,6
829,7
830,9
831,5
832,3
833,9
834,3
835,1
836,2
837,6
838,9
839,9
840,7
841,5
842,0
843,2
844,4
845,2
846,0
847,5
848,0
849,0
850,0
851,5
852,4
853,3
854,0
855,7
856,9
857,9
858,7
859,4
860,4
861,3
862,7
863,4
864,6
865,6
866,7
867,9
868,7
869,0
870,5
871,8
872,8
873,4
874,1
875,3
876,8
877,7
878,6
879,6
880,5
881,8
882,7
883,8
884,2
885,0
886,2
887,9
888,5
889,0
890,2
891,6
892,2
893,1
894,9
895,5
896,8
897,8
898,1
899,0
900,6
901,6
902,6
903,5
904,1
905,5
906,6
907,2
908,0
909,1
910,3
911,2
912,5
913,1
914,9
915,4
916,4
917,7
918,6
919,5
920,5
921,2
922,4
923,7
924,7
925,2
926,6
927,0
928,4
929,1
930,7
931,0
932,2
933,6
934,2
935,1
936,0
937,8
938,8
939,6
940,8
941,2
942,1
943,5
944,6
945,1
946,1
947,2
948,4
949,7
950,2
951,3
952,2
953,6
954,3
955,4
956,5
957,6
958,5
959,1
960,8
961,2
962,0
963,9
964,4
965,1
966,0
967,6
968,6
969,4
970,1
971,2
972,0
973,7
974,3
975,0
976,9
977,7
978,8
979,9
980,7
981,8
982,9
983,7
984,0
985,1
986,9
987,4
988,9
989,8
990,4
991,7
992,5
993,5
994,6
995,8
996,2
997,5
998,5
999,3
1000,4
1001,0
1002,0
1003,7
1004,4
1005,8
1006,4
1007,3
1008,4
1009,4
1010,8
1011,4
1012,4
1013,7
1014,6
1015,4
1016,6
1017,9
1018,0
1019,4
1020,8
1021,8
1022,2
1023,2
1024,8
1025,2
1026,9
1027,6
1028,8
1029,9
1030,1
1031,9
1032,6
1033,6
1034,6
1035,3
1036,7
1037,6
1038,4
1039,1
1040,9
1041,3
1042,8
1043,0
1044,9
1045,3
1046,1
1047,9
1048,8
1049,1
1050,0
1051,6
1052,9
1053,4
1054,1
1055,7
1056,5
1057,0
1058,9
1059,8
1060,9
1061,2
1062,2
1063,4
1064,6
1065,0
1066,8
1067,9
1068,9
1069,8
1070,0
1071,5
1072,8
1073,8
1074,8
1075,0
1076,6
1077,2
1078,3
1079,7
1080,1
1081,6
1082,8
1083,6
1084,0
1085,9
1086,8
1087,4
1088,5
1089,6
1090,1
1091,4
1092,2
1093,5
1094,3
1095,5
1096,9
1097,4
1098,2
1099,2
1100,6
1101,6
1102,9
1103,4
1104,2
1105,6
1106,1
1107,1
1108,6
1109,8
1110,0
1111,6
1112,4
1113,6
1114,4
1115,3
1116,0
1117,0
1118,1
1119,7
1120,6
1121,1
1122,9
1123,0
1124,9
1125,6
1126,5
1127,3
1128,4
1129,0
1130,1
1131,4
1132,3
1133,4
1134,8
1135,2
1136,9
1137,3
1138,8
1139,8
1140,8
1141,7
1142,7
1143,0
1144,3
1145,5
1146,1
1147,4
1148,2
1149,8
1150,7
1151,8
1152,3
1153,4
1154,5
1155,7
1156,4
1157,8
1158,5
1159,2
1160,3
1161,7
1162,2
1163,9
1164,5
1165,0
1166,4
1167,6
1168,1
1169,1
1170,8
1171,2
1172,2
1173,0
1174,1
1175,3
1176,2
1177,9
1178,8
1179,8
1180,9
1181,0
1182,2
1183,3
1184,0
1185,9
1186,1
1187,5
1188,5
1189,8
1190,8
1191,8
1192,0
1193,9
1194,2
1195,1
1196,7
1197,1
1198,7
1199,9
1200,7
1201,1
1202,3
1203,9
1204,1
1205,9
1206,3
1207,3
1208,8
1209,8
1210,7
1211,4
1212,0
1213,3
1214,5
1215,1
1216,2
1217,7
1218,8
1219,3
1220,3
1221,2
1222,7
1223,8
1224,0
1225,9
1226,3
1227,9
1228,0
1229,6
1230,6
1231,7
1232,6
1233,2
1234,1
1235,7
1236,0
1237,8
1238,6
1239,0
1240,3
1241,4
1242,5
1243,9
1244,9
1245,3
1246,3
1247,3
1248,2
1249,1
1250,1
1251,3
1252,9
1253,7
1254,9
1255,5
1256,0
